"Component","Package","Value","Manuf","Manuf Part No","Distrib","Distrib Part No","Ref Name","Qty"
"0.125Wresistor","DIL","","","","","","R2 R1 R4 Rs Rs2 Rs1 R10 R3 R5","9"
"0.125Wresistor","DIL","4.7k","","","","","R6 R7 R8 R9","4"
"ADXL335","USER","","","","","","Accel","1"
"B3F-1050","DIP","","","","","","Menu Select Up Down","4"
"Ceramic","C","","","","","","C13 C14 C7 C8 C4 C6 C9 C3 C5 C10 C11","11"
"Ceramic0.2","C","","","","","","C17 C16 C18 C19","4"
"DAC8551","DGK","","","","","","IC1 IC2","2"
"ESP8266","USER","","","","","","ESP8266","1"
"Header2","SIP","","","","","","J2","1"
"Header5","SIP","","","","","","J1","1"
"HeadphoneJack","MISC","","","","","","J6","1"
"KSC353JLFG","SM","","","","","","SW1","1"
"LEDT1.75","SIP","","","","","","D2","1"
"LM4041","MISC","","","","","","ShntRef","1"
"LogicAnalyzer","DIP","","","","","","J3 J4","2"
"LP2950CZ-3.3","TO220","","","","","","U2","1"
"ST7735","LCD","","","","","","J5","1"
"tantalum","C","","","","","","C12 C2 C1","3"
"testpoint","SIP","","","","","","GND Test3V Battery TPvref","4"
"TM4C123GH6PM","LQFP","","","","","","U1","1"
"XTAL","NX5032","","","","","","Y1","1"
"","","","","","","","","55"
PCB Artist Bill of Materials is provided for reference only and must be verified by the user.
